abstraction,identity_key,n_cases,n_chains,n_addresses,cross_chain,cross_address,chains,addresses,case_ids
chain_address,arbitrum:0xf7ca7384cc6619866749955065f17bedd3ed80bc,1,1,1,False,False,arbitrum,0xf7ca7384cc6619866749955065f17bedd3ed80bc,ca2-40ca8a9aca77ecfbfe71
chain_address,base:0x26fe408bbd7a490feb056da8e2d1e007938e5685,1,1,1,False,False,base,0x26fe408bbd7a490feb056da8e2d1e007938e5685,ca2-e726d15fcadb675a6a84
chain_address,base:0x6a0b87d6b74f7d5c92722f6a11714dbeda9f3895,1,1,1,False,False,base,0x6a0b87d6b74f7d5c92722f6a11714dbeda9f3895,ca2-5b927b3791414bdc410e
chain_address,base:0x7b5969bb51fa3b002579d7ee41a454ac691716dc,1,1,1,False,False,base,0x7b5969bb51fa3b002579d7ee41a454ac691716dc,ca2-0583d91c7785bb31ad8f
chain_address,base:0x7f12d13b34f5f4f0a9449c16bcd42f0da47af200,1,1,1,False,False,base,0x7f12d13b34f5f4f0a9449c16bcd42f0da47af200,ca2-470ed35ca97a31cab7dd
chain_address,base:0xb6333e994fd02a9255e794c177efbdeb1fe779c7,1,1,1,False,False,base,0xb6333e994fd02a9255e794c177efbdeb1fe779c7,ca2-b40a4160faf772fbf6c8
chain_address,base:0xbeb0b0623f66be8ce162ebdfa2ec543a522f4ea6,1,1,1,False,False,base,0xbeb0b0623f66be8ce162ebdfa2ec543a522f4ea6,ca2-5e2c8b988ed2dd09b840
chain_address,base:0xc859ac8429fb4a5e24f24a7bed3fe3a8db4fb371,1,1,1,False,False,base,0xc859ac8429fb4a5e24f24a7bed3fe3a8db4fb371,ca2-f459648a3f9405d0f148
chain_address,base:0xcfe0de4a50c80b434092f87e106dfa40b71a5563,1,1,1,False,False,base,0xcfe0de4a50c80b434092f87e106dfa40b71a5563,ca2-73f336f589a36742aed4
chain_address,base:0xec942be8a8114bfd0396a5052c36027f2ca6a9d0,1,1,1,False,False,base,0xec942be8a8114bfd0396a5052c36027f2ca6a9d0,ca2-b4208a8c5bb1d965b99f
chain_address,bsc:0x000004a70f92f1b22de1201af76c48365d5d0000,1,1,1,False,False,bsc,0x000004a70f92f1b22de1201af76c48365d5d0000,ca2-68bcc7d0d70c9f4db91a
chain_address,bsc:0x0025b42bfc22cbba6c02d23d4ec2abfcf6e014d4,1,1,1,False,False,bsc,0x0025b42bfc22cbba6c02d23d4ec2abfcf6e014d4,ca2-91206b717060c4fd7b39
chain_address,bsc:0x028c911c10c9e346158206991e02d09bd0a8a35b,1,1,1,False,False,bsc,0x028c911c10c9e346158206991e02d09bd0a8a35b,ca2-33876c68131f30cf0f4a
chain_address,bsc:0x02d841b976298dcd37ed6cc59f75d9dd39a3690c,1,1,1,False,False,bsc,0x02d841b976298dcd37ed6cc59f75d9dd39a3690c,ca2-cd8110008dfe201e0222
chain_address,bsc:0x04df78093e2b66a0387f8c052c8d344d84ca49af,1,1,1,False,False,bsc,0x04df78093e2b66a0387f8c052c8d344d84ca49af,ca2-0fd406d4a5d581dc9171
chain_address,bsc:0x05c2dd9cf547c6cccf91245346e6e1bc9926cae7,1,1,1,False,False,bsc,0x05c2dd9cf547c6cccf91245346e6e1bc9926cae7,ca2-64ef33688d6e79b3439e
chain_address,bsc:0x061944c0f3c2d7dabafb50813efb05c4e0c952e1,1,1,1,False,False,bsc,0x061944c0f3c2d7dabafb50813efb05c4e0c952e1,ca2-382283494db3462edcb4
chain_address,bsc:0x0fc91b6fea2e7a827a8c99c91101ed36c638521b,1,1,1,False,False,bsc,0x0fc91b6fea2e7a827a8c99c91101ed36c638521b,ca2-c5014cea82de5130aa96
chain_address,bsc:0x0fdfcfc398ccc90124a0a41d920d6e2d0bd8ccf5,1,1,1,False,False,bsc,0x0fdfcfc398ccc90124a0a41d920d6e2d0bd8ccf5,ca2-573d346bb7ac970e759a
chain_address,bsc:0x109ea28dbdea5e6ec126fbc8c33845dfe812a300,1,1,1,False,False,bsc,0x109ea28dbdea5e6ec126fbc8c33845dfe812a300,ca2-275669506c0506e44e0f
chain_address,bsc:0x10bc28d2810dd462e16facff18f78783e859351b,1,1,1,False,False,bsc,0x10bc28d2810dd462e16facff18f78783e859351b,ca2-742774bf4edd46ad6f87
chain_address,bsc:0x1292267f726e6f313972ec4e14578735473e1649,1,1,1,False,False,bsc,0x1292267f726e6f313972ec4e14578735473e1649,ca2-2d415ee24d090e5e26dc
chain_address,bsc:0x12b3b6b1055b8ad1ae8f60a0b6c79a9825bcb4bc,1,1,1,False,False,bsc,0x12b3b6b1055b8ad1ae8f60a0b6c79a9825bcb4bc,ca2-2f4322a54fd6caa407fe
chain_address,bsc:0x13b1f2e227ca6f8e08ac80368fd637f5084f10a5,1,1,1,False,False,bsc,0x13b1f2e227ca6f8e08ac80368fd637f5084f10a5,ca2-db4133161e8ad967d9de
chain_address,bsc:0x16d0a151297a0393915239373897bcc955882110,1,1,1,False,False,bsc,0x16d0a151297a0393915239373897bcc955882110,ca2-76efd7743f4d9234ff8d
chain_address,bsc:0x179aad597399b9ae078acfe2b746c09117799ca0,1,1,1,False,False,bsc,0x179aad597399b9ae078acfe2b746c09117799ca0,ca2-3ef6014a26a0b205a68e
